,NAME,HG,N,ELV,SA,Z,LT,ST,DA,RF,FR,DAM,LAT1,LAT2,LAT3,LONG1,LONG2,LONG3
0,ALLIGATOR.P,0.025,2,1494,47,26,2,0,1,0.69,0.8,1,45,37,50,69,12,30
1,DIMMICK.P(LITTLE),0.05,4,1390,41,14,2,0,4,0.66,19.4,1,45,13,45,69,52,25
2,HOSMER.P,0.071,3,212,53,16,3,0,2,0.62,6.8,0,44,12,53,69,7,44
3,PENNINGTON.P,0.08,2,904,45,5,2,0,1,0.51,17.5,1,46,56,10,68,31,11
4,INDIAN.P(BIG),0.09,4,1209,280,68,1,1,5,0.76,0.9,1,45,26,20,69,44,12
5,BUBBLE.P,0.1,2,331,32,39,3,0,1,0.64,1.9,0,44,20,44,68,14,20
6,SANDY.RIVER.P(LOWER),0.1,3,1690,17,21,2,1,4,0.56,64.1,1,44,53,52,70,32,34
8,TOGUE.P,0.11,5,1189,388,85,1,1,4,0.56,0.3,1,46,56,1,68,53,30
9,TOGUS.P,0.12,5,180,660,49,2,1,5,0.51,0.5,1,44,19,28,69,39,31
10,CHASE.P(FIRST),0.13,2,995,12,37,1,1,4,0.54,28.6,1,46,53,28,68,53,46
11,OTTER.P,0.13,3,1633,14,18,2,0,0,0.71,1.8,1,45,10,51,70,58,53
13,SPENCER.P,0.14,3,1045,980,16,3,0,21,0.61,5.4,0,45,44,34,69,33,31
15,OTTER.P,0.16,4,1373,30,8,2,0,0,0.61,2.3,1,45,21,57,70,44,53
16,VARNUM.P,0.16,5,756,331,75,1,1,4,0.61,0.5,0,44,39,27,70,14,23
17,BEN.ANNIS.P,0.18,5,122,25,9,2,0,10,0.51,58.8,1,44,46,25,68,56,35
18,CHUB.P,0.18,5,1095,24,19,2,1,0,0.46,0.8,1,45,27,30,70,18,20
19,SYMMES.P,0.18,5,499,36,30,2,1,1,0.61,3.3,0,43,38,56,70,52,43
20,WEBBER.P,0.18,4,118,1201,41,2,1,28,0.51,1.6,0,44,24,13,69,39,53
21,SEWALL.P,0.19,5,15,46,11,2,0,0,0.6,1.7,0,43,52,7,69,46,48
22,WEYMOUTH.P,0.19,5,296,87,15,2,0,1,0.47,2,1,44,58,9,69,19,33
23,DAMARISCOTTA.L,0.21,4,54,4381,114,3,1,57,0.59,0.5,0,44,10,45,69,28,30
24,LONG.P,0.21,4,1157,3053,44,3,0,558,0.46,20.3,1,45,37,20,70,2,8
25,ROACH.P(SECOND),0.22,5,1271,970,46,3,0,25,0.66,2.1,0,45,40,34,69,16,36
26,ROWE.P,0.22,5,1203,205,43,3,1,2,0.56,0.8,1,45,7,32,69,59,29
27,GREENWOOD.P(LITTLE),0.24,3,683,61,38,1,1,1,0.61,1.1,1,45,22,7,69,24,50
28,HAY.L,0.24,2,653,588,34,3,0,6,0.53,0.8,1,46,9,10,68,43,18
29,CHANDLER.L,0.25,5,824,401,19,2,0,5,0.52,1.1,1,46,27,13,68,42,12
30,WOOD.P(LITTLE.BIG),0.25,5,1244,713,80,1,1,39,0.46,2,1,45,38,12,70,20,40
31,CHURCHILL.L,0.26,5,922,2923,62,1,1,298,0.51,5.8,0,46,26,41,69,18,10
32,SQUAW.P(BIG),0.26,5,1486,91,96,1,1,1,0.76,0.8,0,45,27,22,69,40,44
33,BEAVER.P,0.27,5,397,128,8,3,0,2,0.61,7.9,1,43,59,47,70,49,26
34,GRAND.L(WEST),0.28,2,298,14340,128,1,1,226,0.56,0.5,0,45,13,56,67,48,6
36,KNIGHT.P,0.28,5,101,49,18,3,0,0,0.51,0.9,1,43,15,21,70,45,49
38,CARLTON.BOG(POND),0.29,5,203,430,8,2,0,23,0.51,20.1,0,44,42,14,69,16,21
39,COBBOSSEECONTEE.L,0.29,5,165,5543,100,2,1,131,0.51,1.1,0,44,15,10,69,56,30
40,UMBAGOG.L,0.29,5,1245,7850,48,2,0,600,0.56,9.2,0,44,47,25,71,0,47
41,BRACKETT.L,0.31,5,446,576,25,2,0,7,0.56,1.1,1,45,44,44,67,51,34
42,MEDDYBEMPS.L,0.32,5,170,6765,38,2,0,45,0.62,0.6,0,45,4,27,67,21,43
43,KINGSBURY.P,0.34,5,929,390,62,3,1,13,0.61,2.2,0,45,6,38,69,39,19
44,FLYING.P,0.35,4,345,360,80,3,1,15,0.51,1.7,0,44,31,16,69,59,36
45,KEENE.L,0.35,3,195,115,37,3,1,1,0.61,1.3,1,45,6,38,67,10,30
46,FISH.P,0.36,3,1503,211,58,1,1,6,0.56,1.8,1,45,44,46,70,7,27
47,FISHER.P(BIG),0.36,5,1150,60,11,2,0,1,0.56,2.9,1,45,46,43,69,17,5
48,PEASE.P,0.36,5,377,109,19,2,0,2,0.58,2.2,1,44,35,55,70,10,34
49,THIRD.L,0.36,2,751,474,37,1,1,32,0.56,7.4,0,46,14,42,69,1,54
50,LILY.P,0.37,5,146,44,30,3,1,0,0.46,1,1,44,27,54,69,42,20
51,NEQUASSET.P,0.37,3,17,392,63,3,1,21,0.58,2.3,0,43,57,4,69,46,13
52,SANDY.RIVER.P(MID),0.37,5,1700,70,58,3,1,4,0.56,3.8,1,44,53,52,70,33,16
53,SLY.BROOK.L(SECOND),0.37,5,637,13,21,3,1,3,0.5,25.2,1,47,7,11,68,31,19
54,PATTEE.P,0.38,5,141,712,27,2,0,17,0.46,2.3,1,44,32,1,69,33,49
55,CROSS.L,0.39,5,578,2515,46,3,0,164,0.5,3.3,1,47,5,16,68,18,32
56,LONG.P,0.4,5,390,271,36,3,1,3,0.58,0.9,1,44,55,25,68,15,59
57,BURNT.P,0.41,5,328,315,27,3,0,45,0.58,0.7,1,44,44,41,68,31,41
58,CRYSTAL(BEALS).P,0.41,5,328,47,39,3,1,1,0.54,1.1,1,44,16,55,70,16,10
59,SENNEBEC.P,0.41,3,87,532,57,3,1,106,0.6,14.2,0,44,15,26,69,15,59
60,SUNDAY.P,0.41,5,1409,30,50,3,1,1,0.61,1.9,1,44,47,56,70,57,12
61,WADLEIGH.P,0.41,5,913,225,90,1,1,41,0.61,7.3,1,45,44,43,69,11,24
62,BRANCH.P(UPPER.MID),0.43,3,341,467,55,1,1,4,0.58,0.5,1,44,54,0,68,14,45
